You entered a buffer length of 100
-0.586693,-0.011734, Max:0.000000, Min:-0.586693
-0.586693,-0.017658, Max:0.000000, Min:-0.586693
-0.592698,-0.023764, Max:0.000000, Min:-0.592698
-0.592698,-0.029752, Max:0.000000, Min:-0.598703
-0.604708,-0.036040, Max:0.000000, Min:-0.622722
-0.646741,-0.042570, Max:0.000000, Min:-0.646741
-0.640736,-0.048442, Max:0.000000, Min:-0.646741
-0.634731,-0.054127, Max:0.000000, Min:-0.646741
-0.604708,-0.059511, Max:0.000000, Min:-0.646741
-0.562675,-0.064411, Max:0.000000, Min:-0.646741
-0.508632,-0.069006, Max:0.000000, Min:-0.646741
-0.070286,-0.063630, Max:0.229952, Min:-0.646741
-0.076290,-0.074307, Max:0.229952, Min:-0.646741
-0.286456,-0.082262, Max:0.229952, Min:-0.646741
-0.196385,-0.087308, Max:0.229952, Min:-0.646741
-0.286456,-0.095207, Max:0.229952, Min:-0.646741
-0.346504,-0.101393, Max:0.229952, Min:-0.646741
-0.298466,-0.106781, Max:0.229952, Min:-0.646741
-0.316480,-0.113302, Max:0.229952, Min:-0.646741
-0.382532,-0.120856, Max:0.229952, Min:-0.646741
-0.508632,-0.129320, Max:0.229952, Min:-0.646741
-0.616717,-0.137013, Max:0.229952, Min:-0.646741
-0.628727,-0.142597, Max:0.229952, Min:-0.646741
-0.532651,-0.146418, Max:0.229952, Min:-0.646741
-0.400546,-0.149621, Max:0.229952, Min:-0.646741
-0.274447,-0.153118, Max:0.229952, Min:-0.646741
-0.214399,-0.161002, Max:0.229952, Min:-0.646741
-0.989011,-0.179557, Max:0.229952, Min:-0.989011
-0.724803,-0.179185, Max:0.229952, Min:-0.989011
-0.508632,-0.181805, Max:0.229952, Min:-0.989011
-0.490618,-0.187999, Max:0.229952, Min:-0.989011
-0.562675,-0.195249, Max:0.229952, Min:-0.989011
-0.574684,-0.200708, Max:0.229952, Min:-0.989011
-0.436575,-0.203447, Max:0.229952, Min:-0.989011
-0.274447,-0.206699, Max:0.229952, Min:-0.989011
-0.268442,-0.213379, Max:0.229952, Min:-0.989011
-0.388537,-0.221414, Max:0.229952, Min:-0.989011
-0.418561,-0.227902, Max:0.229952, Min:-0.989011
-0.442580,-0.234254, Max:0.229952, Min:-0.989011
-0.460594,-0.240425, Max:0.229952, Min:-0.989011
-0.490618,-0.246954, Max:0.229952, Min:-0.989011
-0.508632,-0.253126, Max:0.229952, Min:-0.989011
-0.478608,-0.258455, Max:0.229952, Min:-0.989011
-0.454589,-0.263714, Max:0.229952, Min:-0.989011
-0.412556,-0.268673, Max:0.229952, Min:-0.989011
-0.358513,-0.273689, Max:0.229952, Min:-0.989011
-0.352508,-0.280146, Max:0.229952, Min:-0.989011
-0.388537,-0.286318, Max:0.229952, Min:-0.989011
-0.376527,-0.292067, Max:0.229952, Min:-0.989011
-0.400546,-0.298471, Max:0.229952, Min:-0.989011
-0.400546,-0.304282, Max:0.229952, Min:-0.989011
-0.400546,-0.310448, Max:0.229952, Min:-0.989011
-0.454589,-0.317337, Max:0.229952, Min:-0.989011
-0.454589,-0.323153, Max:0.229952, Min:-0.989011
-0.460594,-0.329438, Max:0.229952, Min:-0.989011
-0.520641,-0.336809, Max:0.229952, Min:-0.989011
-0.604708,-0.344431, Max:0.229952, Min:-0.989011
-0.682769,-0.351875, Max:0.229952, Min:-0.989011
-0.754826,-0.359138, Max:0.229952, Min:-0.989011
-0.802864,-0.365978, Max:0.229952, Min:-0.989011
-0.838893,-0.372514, Max:0.229952, Min:-0.989011
-0.844897,-0.378446, Max:0.229952, Min:-0.989011
-0.868916,-0.385513, Max:0.229952, Min:-0.989011
-0.910950,-0.390490, Max:0.229952, Min:-0.989011
-0.646741,-0.391183, Max:0.229952, Min:-0.989011
-0.436575,-0.393033, Max:0.229952, Min:-0.989011
-0.232414,-0.394595, Max:0.229952, Min:-0.989011
0.013781,-0.395494, Max:0.229952, Min:-0.989011
0.265980,-0.396626, Max:0.362056, Min:-0.989011
0.386075,-0.401484, Max:0.386075, Min:-0.989011
0.265980,-0.410341, Max:0.386075, Min:-0.989011
0.091843,-0.419359, Max:0.386075, Min:-0.989011
-0.004233,-0.426818, Max:0.386075, Min:-0.989011
-0.016243,-0.432879, Max:0.386075, Min:-0.989011
-0.004233,-0.438266, Max:0.386075, Min:-0.989011
0.073828,-0.442566, Max:0.386075, Min:-0.989011
0.133876,-0.447995, Max:0.386075, Min:-0.989011
0.055814,-0.455538, Max:0.386075, Min:-0.989011
-0.010238,-0.462501, Max:0.386075, Min:-0.989011
-0.028252,-0.468798, Max:0.386075, Min:-0.989011
-0.034257,-0.474848, Max:0.386075, Min:-0.989011
-0.064281,-0.481436, Max:0.386075, Min:-0.989011
-0.112319,-0.488450, Max:0.386075, Min:-0.989011
-0.178371,-0.495107, Max:0.386075, Min:-0.989011
-0.100309,-0.501521, Max:0.386075, Min:-0.989011
-0.478608,-0.513817, Max:0.386075, Min:-0.989011
-0.460594,-0.518726, Max:0.386075, Min:-0.989011
-0.454589,-0.525243, Max:0.386075, Min:-0.989011
-0.568679,-0.533397, Max:0.386075, Min:-0.989011
-0.652746,-0.540546, Max:0.386075, Min:-0.989011
-0.640736,-0.545944, Max:0.386075, Min:-0.989011
-0.556670,-0.549883, Max:0.386075, Min:-0.989011
-0.442580,-0.553628, Max:0.386075, Min:-0.989011
-0.358513,-0.558211, Max:0.386075, Min:-0.989011
-0.352508,-0.564304, Max:0.386075, Min:-0.989011
-0.394542,-0.571193, Max:0.386075, Min:-0.989011
-0.466599,-0.578930, Max:0.386075, Min:-0.989011
-0.598703,-0.587457, Max:0.386075, Min:-0.989011
-0.700784,-0.595210, Max:0.386075, Min:-0.989011
-0.760831,-0.594387, Max:0.386075, Min:-0.989011
-0.820879,-0.597321, Max:0.386075, Min:-0.989011
-0.844897,-0.600653, Max:0.386075, Min:-0.989011
-0.868916,-0.603448, Max:0.386075, Min:-0.989011
-0.838893,-0.605278, Max:0.386075, Min:-0.989011
-0.772841,-0.606257, Max:0.386075, Min:-0.989011
-0.670760,-0.606807, Max:0.386075, Min:-0.989011
-0.562675,-0.607173, Max:0.386075, Min:-0.989011
-0.436575,-0.607117, Max:0.386075, Min:-0.989011
-0.298466,-0.606816, Max:0.386075, Min:-0.989011
-0.136338,-0.606212, Max:0.386075, Min:-0.989011
0.007776,-0.606026, Max:0.386075, Min:-0.989011
0.139881,-0.605844, Max:0.386075, Min:-0.989011
0.289999,-0.605482, Max:0.386075, Min:-0.989011
0.440118,-0.605058, Max:0.512175, Min:-0.989011
0.578227,-0.605054, Max:0.632270, Min:-0.989011
0.698322,-0.605594, Max:0.716336, Min:-0.989011
0.752365,-0.606981, Max:0.782388, Min:-0.989011
0.800402,-0.608736, Max:0.818417, Min:-0.989011
0.842436,-0.610555, Max:0.854445, Min:-0.989011
0.878464,-0.612495, Max:0.884469, Min:-0.989011
0.884469,-0.615156, Max:0.884469, Min:-0.989011
0.848440,-0.618665, Max:0.884469, Min:-0.989011
0.746360,-0.622844, Max:0.884469, Min:-0.989011
