You entered a buffer length of 20
0.772703,0.077270, Max:0.772703, Min:0.000000
0.748695,0.116168, Max:0.772703, Min:0.000000
0.712682,0.151346, Max:0.772703, Min:0.000000
0.682672,0.187538, Max:0.772703, Min:0.000000
0.658664,0.224382, Max:0.772703, Min:0.000000
0.646660,0.263359, Max:0.772703, Min:0.000000
0.652662,0.303643, Max:0.772703, Min:0.000000
0.670668,0.345192, Max:0.772703, Min:0.000000
0.706680,0.387706, Max:0.772703, Min:0.000000
0.772703,0.435069, Max:0.802713, Min:0.000000
0.838725,0.482074, Max:0.880739, Min:0.000000
0.934758,0.559072, Max:1.528960, Min:0.000000
1.204850,0.608459, Max:1.528960, Min:0.000000
1.384911,0.661868, Max:1.528960, Min:0.000000
1.799052,0.730482, Max:1.799052, Min:0.000000
1.697017,0.762045, Max:1.799052, Min:0.000000
1.498950,0.789054, Max:1.799052, Min:0.000000
1.342896,0.805331, Max:1.799052, Min:0.000000
1.132825,0.824073, Max:1.799052, Min:0.000000
1.018786,0.803403, Max:1.799052, Min:0.000000
1.048797,0.818875, Max:1.799052, Min:0.000000
1.066803,0.836454, Max:1.799052, Min:0.000000
1.000780,0.844836, Max:1.799052, Min:0.000000
0.934758,0.855458, Max:1.799052, Min:0.000000
0.880739,0.867093, Max:1.799052, Min:0.000000
0.844727,0.882080, Max:1.799052, Min:0.000000
0.796711,0.867824, Max:1.799052, Min:0.000000
0.064462,0.843403, Max:1.799052, Min:0.000000
0.646660,0.922910, Max:1.799052, Min:0.000000
0.946762,0.962897, Max:1.799052, Min:0.000000
1.012784,0.982603, Max:1.799052, Min:0.000000
1.000780,0.996792, Max:1.799052, Min:0.000000
0.994778,1.012807, Max:1.799052, Min:0.000000
1.030791,1.034615, Max:1.799052, Min:0.000000
1.054799,1.054012, Max:1.799052, Min:0.000000
1.030791,1.066685, Max:1.799052, Min:0.000000
0.946762,1.075122, Max:1.799052, Min:0.000000
0.868735,1.082446, Max:1.799052, Min:0.000000
0.766701,1.087914, Max:1.799052, Min:0.000000
0.676670,1.101692, Max:1.799052, Min:0.000000
0.574635,1.072671, Max:1.799052, Min:0.000000
0.508613,1.035207, Max:1.799052, Min:0.000000
0.442590,0.998222, Max:1.799052, Min:0.000000
0.376568,0.962762, Max:1.799052, Min:0.000000
0.310546,0.926477, Max:1.799052, Min:0.000000
0.256527,0.891351, Max:1.799052, Min:0.000000
0.202509,0.856584, Max:1.799052, Min:0.000000
0.208511,0.827536, Max:1.799052, Min:0.000000
0.208511,0.800875, Max:1.799052, Min:0.000000
0.274533,0.777935, Max:1.799052, Min:0.000000
0.328552,0.753380, Max:1.799052, Min:0.000000
0.316548,0.721241, Max:1.799052, Min:0.000000
0.232519,0.680621, Max:1.799052, Min:0.000000
0.094472,0.638977, Max:1.799052, Min:0.000000
0.022448,0.602383, Max:1.799052, Min:-0.001561
-0.031571,0.567242, Max:1.799052, Min:-0.055579
-0.091591,0.531273, Max:1.799052, Min:-0.121601
-0.157614,0.495263, Max:1.799052, Min:-0.181622
-0.211632,0.460151, Max:1.799052, Min:-0.235640
-0.259648,0.493207, Max:1.799052, Min:-0.259648
-0.355681,0.446844, Max:1.799052, Min:-0.355681
-0.397695,0.392008, Max:1.799052, Min:-0.457716
-0.823840,0.283330, Max:1.799052, Min:-1.243983
-1.466058,0.185165, Max:1.799052, Min:-1.550087
-1.556089,0.127438, Max:1.799052, Min:-1.610107
-1.676130,0.068133, Max:1.799052, Min:-1.712142
-1.736150,0.015051, Max:1.799052, Min:-1.748154
-1.760158,-0.034719, Max:1.799052, Min:-1.760158
-1.760158,-0.080423, Max:1.799052, Min:-1.760158
-1.640118,-0.112418, Max:1.799052, Min:-1.760158
-1.412040,-0.135925, Max:1.799052, Min:-1.760158
-1.153952,-0.155707, Max:1.799052, Min:-1.760158
-0.877858,-0.175902, Max:1.799052, Min:-1.760158
-0.667787,-0.205122, Max:1.799052, Min:-1.760158
-0.577756,-0.242595, Max:1.799052, Min:-1.760158
-0.505732,-0.283482, Max:1.799052, Min:-1.760158
-0.433707,-0.325440, Max:1.799052, Min:-1.760158
-0.445711,-0.373453, Max:1.799052, Min:-1.760158
-0.439709,-0.419669, Max:1.799052, Min:-1.760158
-0.409699,-0.419279, Max:1.799052, Min:-1.760158
-0.331673,-0.412057, Max:1.799052, Min:-1.760158
-0.301663,-0.402093, Max:1.799052, Min:-1.760158
-0.235640,-0.390491, Max:1.799052, Min:-1.760158
-0.199628,-0.370404, Max:1.799052, Min:-1.760158
0.820719,-0.248158, Max:1.799052, Min:-1.760158
0.802713,-0.277758, Max:1.799052, Min:-1.760158
0.706680,-0.267834, Max:1.799052, Min:-1.760158
0.898746,-0.246031, Max:1.799052, Min:-1.760158
1.042794,-0.223033, Max:1.799052, Min:-1.760158
1.276874,-0.187672, Max:1.799052, Min:-1.760158
1.745033,-0.132485, Max:1.991117, Min:-1.760158
2.099154,-0.099116, Max:2.153172, Min:-1.760158
2.177180,-0.086644, Max:2.195186, Min:-1.760158
2.201188,-0.079718, Max:2.201188, Min:-1.760158
2.213192,-0.073369, Max:2.213192, Min:-1.760158
2.213192,-0.068250, Max:2.213192, Min:-1.760158
2.213192,-0.063193, Max:2.213192, Min:-1.760158
2.213192,-0.058138, Max:2.213192, Min:-1.760158
2.213192,-0.053084, Max:2.213192, Min:-1.760158
2.213192,-0.178574, Max:2.213192, Min:-1.760158
2.213192,-0.059106, Max:2.213192, Min:-1.760158
2.219194,0.073211, Max:2.219194, Min:-1.760158
2.213192,0.205269, Max:2.219194, Min:-1.760158
2.213192,0.338215, Max:2.219194, Min:-1.760158
2.219194,0.471505, Max:2.219194, Min:-1.760158
2.213192,0.603612, Max:2.219194, Min:-1.760158
2.195186,0.729658, Max:2.219194, Min:-1.760158
1.961107,0.835895, Max:2.219194, Min:-1.760158
1.655003,0.936639, Max:2.219194, Min:-1.760158
1.360903,1.038609, Max:2.219194, Min:-1.760158
1.066803,1.140340, Max:2.219194, Min:-1.760158
0.790709,1.243860, Max:2.219194, Min:-1.760158
0.496609,1.345669, Max:2.219194, Min:-1.760158
0.202509,1.447693, Max:2.219194, Min:-1.760158
-0.073585,1.550927, Max:2.219194, Min:-1.760158
-0.343677,1.655123, Max:2.219194, Min:-1.760158
-0.631775,1.757565, Max:2.219194, Min:-1.760158
-0.925875,1.859320, Max:2.219194, Min:-1.760158
-1.219975,1.960441, Max:2.219194, Min:-1.760158
-1.508073,2.130853, Max:2.219194, Min:-1.760158
-1.718144,1.932003, Max:2.219194, Min:-1.760158
-1.742152,1.720992, Max:2.219194, Min:-1.760158
-1.760158,1.511174, Max:2.219194, Min:-1.760158
-1.760158,1.302616, Max:2.219194, Min:-1.760158
-1.760158,1.094121, Max:2.219194, Min:-1.760158
-1.760158,0.885629, Max:2.219194, Min:-1.760158
-1.760158,0.677137, Max:2.219194, Min:-1.760158
-1.760158,0.468645, Max:2.219194, Min:-1.760158
-1.760158,0.260153, Max:2.219194, Min:-1.760158
-1.760158,0.051661, Max:2.219194, Min:-1.760158
-1.760158,-0.156831, Max:2.219194, Min:-1.760158
-1.760158,-0.365323, Max:2.219194, Min:-1.760158
-1.760158,-0.573815, Max:2.219194, Min:-1.760158
