You entered a buffer length of 20
-0.017521,-0.001752, Max:0.000000, Min:-0.017521
-0.017521,-0.002716, Max:0.000000, Min:-0.017521
-0.011500,-0.003038, Max:0.000000, Min:-0.017521
-0.017521,-0.004833, Max:0.000000, Min:-0.023541
-0.023541,-0.006401, Max:0.000000, Min:-0.029562
-0.053646,-0.010065, Max:0.000000, Min:-0.053646
-0.065687,-0.013231, Max:0.000000, Min:-0.083750
-0.095791,-0.017577, Max:0.000000, Min:-0.119875
-0.137937,-0.024089, Max:0.000000, Min:-0.186104
-0.192125,-0.029204, Max:0.000000, Min:-0.210187
-0.222229,-0.032443, Max:0.000000, Min:-0.222229
0.337708,0.058637, Max:1.060208, Min:-0.222229
0.723042,0.036727, Max:1.060208, Min:-0.222229
-0.180083,-0.034484, Max:1.060208, Min:-0.318562
-0.210187,-0.028685, Max:1.060208, Min:-0.318562
0.054729,-0.004586, Max:1.060208, Min:-0.318562
0.175146,0.002366, Max:1.060208, Min:-0.318562
0.084834,-0.010807, Max:1.060208, Min:-0.318562
-0.119875,-0.032511, Max:1.060208, Min:-0.318562
-0.312541,-0.033897, Max:1.060208, Min:-0.318562
-0.691854,-0.086649, Max:1.060208, Min:-0.691854
-0.752062,-0.133539, Max:1.060208, Min:-0.782166
-0.776146,-0.171708, Max:1.060208, Min:-0.782166
-0.661750,-0.197098, Max:1.060208, Min:-0.782166
-0.517250,-0.219139, Max:1.060208, Min:-0.782166
-0.288458,-0.233487, Max:1.060208, Min:-0.782166
0.090854,-0.198380, Max:1.060208, Min:-0.782166
1.397375,-0.137922, Max:1.499729, Min:-0.782166
1.385333,-0.194204, Max:1.499729, Min:-0.782166
0.662833,-0.302985, Max:1.499729, Min:-0.782166
0.157084,-0.387899, Max:1.499729, Min:-0.782166
0.006563,-0.439408, Max:1.499729, Min:-0.782166
0.012583,-0.476302, Max:1.499729, Min:-0.782166
0.054729,-0.509154, Max:1.499729, Min:-0.782166
0.157084,-0.536085, Max:1.499729, Min:-0.782166
0.271479,-0.565127, Max:1.499729, Min:-0.782166
0.307604,-0.600597, Max:1.499729, Min:-0.782166
0.355771,-0.636388, Max:1.499729, Min:-0.782166
0.319646,-0.677915, Max:1.499729, Min:-0.782166
0.247396,-0.735985, Max:1.499729, Min:-0.782166
0.133000,-0.700355, Max:1.499729, Min:-0.782166
0.108917,-0.659739, Max:1.499729, Min:-0.782166
0.042688,-0.621584, Max:1.499729, Min:-0.782166
-0.029562,-0.582347, Max:1.499729, Min:-0.782166
-0.053646,-0.537938, Max:1.499729, Min:-0.782166
-0.017521,-0.490561, Max:1.499729, Min:-0.782166
-0.035583,-0.447552, Max:1.499729, Min:-0.782166
-0.107833,-0.412287, Max:1.499729, Min:-0.782166
-0.216208,-0.376807, Max:1.499729, Min:-0.782166
-0.288458,-0.337102, Max:1.499729, Min:-0.782166
-0.264375,-0.288154, Max:1.499729, Min:-0.782166
-0.216208,-0.244765, Max:1.499729, Min:-0.782166
-0.529291,-0.233263, Max:1.499729, Min:-0.782166
-0.709916,-0.197466, Max:1.499729, Min:-0.782166
-0.565416,-0.135167, Max:1.499729, Min:-0.782166
-0.330604,-0.065522, Max:1.499729, Min:-0.782166
-0.131916,-0.001229, Max:1.499729, Min:-0.782166
-0.023541,0.054367, Max:1.499729, Min:-0.782166
0.030646,0.104711, Max:1.499729, Min:-0.782166
0.066771,0.112045, Max:1.499729, Min:-0.782166
0.151063,0.118734, Max:1.499729, Min:-0.782166
0.193208,0.131110, Max:1.499729, Min:-0.782166
0.379854,0.155210, Max:1.499729, Min:-0.782166
0.518333,0.169661, Max:1.499729, Min:-0.782166
0.464146,0.169480, Max:1.499729, Min:-0.782166
0.488229,0.178201, Max:1.499729, Min:-0.782166
0.548438,0.187066, Max:1.499729, Min:-0.782166
0.512313,0.185704, Max:1.499729, Min:-0.782166
0.403938,0.178410, Max:1.499729, Min:-0.782166
0.265458,0.168713, Max:1.499729, Min:-0.782166
0.151063,0.161606, Max:1.499729, Min:-0.782166
0.060750,0.156434, Max:1.499729, Min:-0.782166
-0.017521,0.153165, Max:1.499729, Min:-0.782166
-0.113854,0.146378, Max:1.499729, Min:-0.782166
-0.216208,0.141222, Max:1.499729, Min:-0.782166
-0.240291,0.144878, Max:1.499729, Min:-0.782166
-0.210187,0.150781, Max:1.499729, Min:-0.782166
-0.240291,0.153183, Max:1.499729, Min:-0.782166
-0.234271,0.158120, Max:1.499729, Min:-0.782166
-0.246312,0.179138, Max:1.499729, Min:-0.782166
-0.300500,0.152795, Max:1.499729, Min:-0.782166
-0.312541,0.124986, Max:1.499729, Min:-0.782166
-0.312541,0.098910, Max:1.499729, Min:-0.782166
-0.300500,0.077135, Max:1.499729, Min:-0.782166
-0.107833,0.069123, Max:1.499729, Min:-0.782166
-0.065687,0.047047, Max:1.499729, Min:-0.782166
-0.011500,0.021258, Max:1.499729, Min:-0.782166
-0.035583,-0.003513, Max:1.499729, Min:-0.782166
0.066771,-0.020707, Max:1.499729, Min:-0.782166
0.090854,-0.048058, Max:1.499729, Min:-0.782166
-0.065687,-0.095786, Max:1.499729, Min:-0.782166
-0.360708,-0.153865, Max:1.499729, Min:-0.782166
-0.734000,-0.219687, Max:1.499729, Min:-0.914625
-1.053104,-0.275660, Max:1.499729, Min:-1.143416
-1.173520,-0.310670, Max:1.499729, Min:-1.173520
-1.107291,-0.328376, Max:1.499729, Min:-1.173520
-0.932687,-0.333175, Max:1.499729, Min:-1.173520
-0.631646,-0.327093, Max:1.499729, Min:-1.173520
-0.276416,-0.316854, Max:1.499729, Min:-1.173520
0.036667,-0.310924, Max:1.499729, Min:-1.173520
0.253417,-0.271492, Max:1.499729, Min:-1.173520
0.259438,-0.241523, Max:1.499729, Min:-1.173520
0.205250,-0.218350, Max:1.499729, Min:-1.173520
0.096875,-0.199430, Max:1.499729, Min:-1.173520
-0.017521,-0.181926, Max:1.499729, Min:-1.173520
-0.143958,-0.164494, Max:1.499729, Min:-1.173520
-0.246312,-0.144356, Max:1.499729, Min:-1.173520
-0.312541,-0.120470, Max:1.499729, Min:-1.173520
-0.348666,-0.094289, Max:1.499729, Min:-1.173520
-0.378771,-0.067391, Max:1.499729, Min:-1.173520
-0.402854,-0.039555, Max:1.499729, Min:-1.173520
-0.420916,-0.010166, Max:1.499729, Min:-1.173520
-0.426937,0.018698, Max:1.499729, Min:-1.173520
-0.420916,0.049643, Max:1.499729, Min:-1.173520
-0.402854,0.082800, Max:1.499729, Min:-1.173520
-0.342646,0.119379, Max:1.499729, Min:-1.173520
-0.276416,0.155827, Max:1.499729, Min:-1.173520
-0.228250,0.190764, Max:1.499729, Min:-1.173520
-0.186104,0.225024, Max:1.499729, Min:-1.173520
-0.125896,0.251422, Max:1.499729, Min:-1.173520
-0.065687,0.239496, Max:1.499729, Min:-1.173520
-0.065687,0.222945, Max:1.499729, Min:-1.173520
-0.053646,0.207968, Max:1.499729, Min:-1.173520
-0.047625,0.188555, Max:1.499729, Min:-1.173520
-0.119875,0.164705, Max:1.499729, Min:-1.173520
-0.174062,0.140934, Max:1.499729, Min:-1.173520
-0.234271,0.118372, Max:1.499729, Min:-1.173520
-0.264375,0.099482, Max:1.499729, Min:-1.173520
-0.234271,0.087399, Max:1.499729, Min:-1.173520
-0.143958,0.078667, Max:1.499729, Min:-1.173520
-0.089771,0.066490, Max:1.499729, Min:-1.173520
-0.071708,0.050227, Max:1.499729, Min:-1.173520
-0.107833,0.028943, Max:1.499729, Min:-1.173520
-0.156000,0.006806, Max:1.499729, Min:-1.173520
-0.204166,-0.015374, Max:1.499729, Min:-1.173520
-0.240291,-0.035148, Max:1.499729, Min:-1.173520
-0.234271,-0.050285, Max:1.499729, Min:-1.173520
-0.174062,-0.060676, Max:1.499729, Min:-1.173520
-0.083750,-0.067818, Max:1.499729, Min:-1.173520
0.024625,-0.064563, Max:1.499729, Min:-1.173520
0.199229,-0.042424, Max:1.499729, Min:-1.173520
0.241375,-0.020244, Max:1.499729, Min:-1.173520
0.277500,-0.002277, Max:1.499729, Min:-1.173520
0.223313,0.005847, Max:1.499729, Min:-1.173520
0.084834,0.006855, Max:1.499729, Min:-1.173520
-0.077729,0.009916, Max:1.499729, Min:-1.173520
-0.083750,0.024519, Max:1.499729, Min:-1.173520
-0.059666,0.045419, Max:1.499729, Min:-1.173520
0.054729,0.075063, Max:1.499729, Min:-1.173520
0.151063,0.097618, Max:1.499729, Min:-1.173520
0.120959,0.111088, Max:1.499729, Min:-1.173520
0.102896,0.126814, Max:1.499729, Min:-1.173520
0.163104,0.149576, Max:1.499729, Min:-1.173520
0.199229,0.166670, Max:1.499729, Min:-1.173520
0.126979,0.175050, Max:1.499729, Min:-1.173520
0.042688,0.181791, Max:1.499729, Min:-1.173520
-0.029562,0.191762, Max:1.499729, Min:-1.173520
-0.053646,0.204904, Max:1.499729, Min:-1.173520
-0.053646,0.221516, Max:1.499729, Min:-1.173520
-0.107833,0.234991, Max:1.499729, Min:-1.173520
-0.125896,0.216398, Max:1.499729, Min:-1.173520
-0.156000,0.192288, Max:1.499729, Min:-1.173520
-0.180083,0.168203, Max:1.499729, Min:-1.173520
-0.222229,0.143217, Max:1.499729, Min:-1.173520
-0.240291,0.120894, Max:1.499729, Min:-1.173520
-0.246312,0.099006, Max:1.499729, Min:-1.173520
-0.258354,0.077140, Max:1.499729, Min:-1.173520
-0.258354,0.056178, Max:1.499729, Min:-1.173520
-0.258354,0.035562, Max:1.499729, Min:-1.173520
-0.252333,0.015265, Max:1.499729, Min:-1.173520
-0.252333,-0.005619, Max:1.499729, Min:-1.173520
-0.240291,-0.025328, Max:1.499729, Min:-1.173520
-0.216208,-0.043773, Max:1.499729, Min:-1.173520
-0.204166,-0.062758, Max:1.499729, Min:-1.173520
-0.174062,-0.080867, Max:1.499729, Min:-1.173520
-0.143958,-0.098631, Max:1.499729, Min:-1.173520
-0.125896,-0.118183, Max:1.499729, Min:-1.173520
-0.125896,-0.138729, Max:1.499729, Min:-1.173520
-0.107833,-0.157216, Max:1.499729, Min:-1.173520
-0.071708,-0.159646, Max:1.499729, Min:-1.173520
0.036667,-0.144715, Max:1.499729, Min:-1.173520
0.072792,-0.127412, Max:1.499729, Min:-1.173520
0.126979,-0.110290, Max:1.499729, Min:-1.173520
0.163104,-0.094081, Max:1.499729, Min:-1.173520
0.199229,-0.078821, Max:1.499729, Min:-1.173520
0.223313,-0.064812, Max:1.499729, Min:-1.173520
0.241375,-0.051769, Max:1.499729, Min:-1.173520
0.229334,-0.040279, Max:1.499729, Min:-1.173520
0.217292,-0.029770, Max:1.499729, Min:-1.173520
0.193208,-0.019611, Max:1.499729, Min:-1.173520
0.169125,-0.010975, Max:1.499729, Min:-1.173520
0.139021,-0.002415, Max:1.499729, Min:-1.173520
0.096875,0.005238, Max:1.499729, Min:-1.173520
0.042688,0.013146, Max:1.499729, Min:-1.173520
0.060750,0.027992, Max:1.499729, Min:-1.173520
0.133000,0.048603, Max:1.499729, Min:-1.173520
0.253417,0.072513, Max:1.499729, Min:-1.173520
0.391896,0.099899, Max:1.499729, Min:-1.173520
0.488229,0.119632, Max:1.499729, Min:-1.173520
0.488229,0.099545, Max:1.499729, Min:-1.173520
0.313625,0.101852, Max:1.499729, Min:-1.173520
0.205250,0.091732, Max:1.499729, Min:-1.173520
-0.053646,0.071960, Max:1.499729, Min:-1.173520
-0.288458,0.053812, Max:1.499729, Min:-1.173520
-0.511229,0.041465, Max:1.499729, Min:-1.173520
-0.595521,0.040245, Max:1.499729, Min:-1.173520
-0.601541,0.048915, Max:1.499729, Min:-1.173520
-0.505208,0.067410, Max:1.499729, Min:-1.173520
-0.354687,0.090311, Max:1.499729, Min:-1.173520
-0.210187,0.111024, Max:1.499729, Min:-1.173520
-0.131916,0.124703, Max:1.499729, Min:-1.173520
-0.125896,0.130806, Max:1.499729, Min:-1.173520
-0.174062,0.133520, Max:1.499729, Min:-1.173520
-0.192125,0.139676, Max:1.499729, Min:-1.173520
-0.156000,0.151122, Max:1.499729, Min:-1.173520
-0.095791,0.164339, Max:1.499729, Min:-1.173520
-0.035583,0.177643, Max:1.499729, Min:-1.173520
0.018604,0.190049, Max:1.499729, Min:-1.173520
0.042688,0.198195, Max:1.499729, Min:-1.173520
0.018604,0.205828, Max:1.499729, Min:-1.173520
-0.011500,0.193867, Max:1.499729, Min:-1.173520
-0.029562,0.178818, Max:1.499729, Min:-1.173520
-0.077729,0.160606, Max:1.499729, Min:-1.173520
-0.149979,0.141331, Max:1.499729, Min:-1.173520
-0.198146,0.123810, Max:1.499729, Min:-1.173520
-0.228250,0.108183, Max:1.499729, Min:-1.173520
-0.264375,0.092651, Max:1.499729, Min:-1.173520
-0.288458,0.078026, Max:1.499729, Min:-1.173520
-0.306521,0.063447, Max:1.499729, Min:-1.173520
-0.324583,0.049172, Max:1.499729, Min:-1.173520
-0.336625,0.036416, Max:1.499729, Min:-1.173520
-0.324583,0.025543, Max:1.499729, Min:-1.173520
-0.324583,0.013560, Max:1.499729, Min:-1.173520
-0.294479,0.003628, Max:1.499729, Min:-1.173520
-0.276416,-0.006201, Max:1.499729, Min:-1.173520
-0.234271,-0.014519, Max:1.499729, Min:-1.173520
-0.174062,-0.019752, Max:1.499729, Min:-1.173520
-0.119875,-0.026937, Max:1.499729, Min:-1.173520
-0.071708,-0.033920, Max:1.499729, Min:-1.173520
-0.041604,-0.031860, Max:1.499729, Min:-1.173520
0.036667,-0.024532, Max:1.499729, Min:-1.173520
0.060750,-0.016339, Max:1.499729, Min:-1.173520
0.102896,-0.007199, Max:1.499729, Min:-1.173520
0.139021,0.000784, Max:1.499729, Min:-1.173520
0.145042,0.006000, Max:1.499729, Min:-1.173520
0.133000,0.009572, Max:1.499729, Min:-1.173520
0.133000,0.014567, Max:1.499729, Min:-1.173520
0.145042,0.020838, Max:1.499729, Min:-1.173520
0.169125,0.028979, Max:1.499729, Min:-1.173520
0.229334,0.040223, Max:1.499729, Min:-1.173520
