20Fast ,100Fast,turtle100,turtle
-0.017521,-0.017521,0.193208,0.193208
-0.017521,-0.017521,0.187188,0.187188
-0.0115,-0.0115,0.181167,0.181167
-0.017521,-0.017521,0.211271,0.211271
-0.023541,-0.023541,0.295563,0.295563
-0.053646,-0.053646,0.373834,0.373834
-0.065687,-0.065687,0.440063,0.440063
-0.095791,-0.095791,0.49425,0.49425
-0.137937,-0.137937,0.536396,0.536396
-0.192125,-0.192125,0.536396,0.536396
-0.222229,-0.222229,0.536396,0.536396
0.337708,0.337708,0.542417,0.542417
0.723042,0.723042,0.554458,0.554458
-0.180083,-0.180083,0.5665,0.5665
-0.210187,-0.210187,0.572521,0.572521
0.054729,0.054729,0.554458,0.554458
0.175146,0.175146,0.554458,0.554458
0.084834,0.084834,0.578542,0.578542
-0.119875,-0.119875,0.626708,0.626708
-0.312541,-0.312541,0.668854,0.668854
-0.691854,-0.5895,0.698958,0.717021
-0.752062,-0.752062,0.711,0.711
-0.776146,-0.776146,0.765188,0.765188
-0.66175,-0.66175,0.807333,0.807333
-0.51725,-0.51725,0.861521,0.861521
-0.288458,-0.288458,0.909688,0.909688
0.090854,0.090854,0.939792,0.939792
1.397375,1.397375,0.969896,0.969896
1.385333,1.385333,1.012042,1.012042
0.662833,0.662833,1.066229,1.066229
0.157084,0.157084,1.120417,1.120417
0.006563,0.006563,1.156542,1.156542
0.012583,0.012583,1.168583,1.168583
0.054729,0.054729,1.174604,1.174604
0.157084,0.157084,1.1445,1.1445
0.271479,0.271479,1.096333,1.096333
0.307604,0.307604,1.048167,1.048167
0.355771,0.355771,1.042146,1.042146
0.319646,0.319646,1.078271,1.078271
0.247396,0.247396,1.138479,1.138479
0.133,0.181167,1.174604,1.186646
0.108917,0.108917,1.198688,1.198688
0.042688,0.042688,1.192667,1.192667
-0.029562,-0.029562,1.186646,1.186646
-0.053646,-0.053646,1.180625,1.180625
-0.017521,-0.017521,1.192667,1.192667
-0.035583,-0.035583,1.21675,1.21675
-0.107833,-0.107833,1.240833,1.240833
-0.216208,-0.216208,1.246854,1.246854
-0.288458,-0.288458,1.234813,1.234813
-0.264375,-0.264375,1.228792,1.228792
-0.216208,-0.216208,1.222771,1.222771
-0.529291,-0.529291,1.222771,1.222771
-0.709916,-0.709916,1.204708,1.204708
-0.565416,-0.565416,1.174604,1.174604
-0.330604,-0.330604,1.150521,1.150521
-0.131916,-0.131916,1.132458,1.132458
-0.023541,-0.023541,1.108375,1.108375
0.030646,0.030646,1.078271,1.078271
0.066771,0.066771,1.048167,1.048167
0.151063,0.114938,0.993979,1.006021
0.193208,0.193208,0.993979,0.993979
0.379854,0.379854,0.969896,0.969896
0.518333,0.518333,0.957854,0.957854
0.464146,0.464146,0.945813,0.945813
0.488229,0.488229,0.921729,0.921729
0.548438,0.548438,0.909688,0.909688
0.512313,0.512313,0.897646,0.897646
0.403938,0.403938,0.867542,0.867542
0.265458,0.265458,0.831417,0.831417
0.151063,0.151063,0.801313,0.801313
0.06075,0.06075,0.78325,0.78325
-0.017521,-0.017521,0.765188,0.765188
-0.113854,-0.113854,0.747125,0.747125
-0.216208,-0.216208,0.741104,0.741104
-0.240291,-0.240291,0.735083,0.735083
-0.210187,-0.210187,0.723042,0.723042
-0.240291,-0.240291,0.698958,0.698958
-0.234271,-0.234271,0.668854,0.668854
-0.246312,-0.246312,0.650792,0.650792
-0.3005,-0.282437,0.63875,0.63875
-0.312541,-0.312541,0.632729,0.632729
-0.312541,-0.312541,0.632729,0.632729
-0.3005,-0.3005,0.644771,0.644771
-0.107833,-0.107833,0.656813,0.656813
-0.065687,-0.065687,0.680896,0.680896
-0.0115,-0.0115,0.698958,0.698958
-0.035583,-0.035583,0.717021,0.717021
0.066771,0.066771,0.704979,0.704979
0.090854,0.090854,0.674875,0.674875
-0.065687,-0.065687,0.63875,0.63875
-0.360708,-0.360708,0.608646,0.608646
-0.734,-0.734,0.5665,0.5665
-1.053104,-1.053104,0.536396,0.536396
-1.17352,-1.17352,0.49425,0.49425
-1.107291,-1.107291,0.482208,0.482208
-0.932687,-0.932687,0.464146,0.464146
-0.631646,-0.631646,0.422,0.422
-0.276416,-0.276416,0.373834,0.373834
0.036667,0.036667,0.325667,0.325667
0.253417,0.253417,0.367813,0.367813
0.259438,0.259438,0.379854,0.379854
0.20525,0.20525,0.397917,0.397917
0.096875,0.096875,0.403938,0.403938
-0.017521,-0.017521,0.379854,0.379854
-0.143958,-0.143958,0.355771,0.355771
-0.246312,-0.246312,0.361792,0.361792
-0.312541,-0.312541,0.367813,0.367813
-0.348666,-0.348666,0.373834,0.373834
-0.378771,-0.378771,0.385875,0.385875
-0.402854,-0.402854,0.373834,0.373834
-0.420916,-0.420916,0.331688,0.331688
-0.426937,-0.426937,0.283521,0.283521
-0.420916,-0.420916,0.253417,0.253417
-0.402854,-0.402854,0.253417,0.253417
-0.342646,-0.342646,0.259438,0.259438
-0.276416,-0.276416,0.259438,0.259438
-0.22825,-0.22825,0.253417,0.253417
-0.186104,-0.186104,0.241375,0.241375
-0.125896,-0.125896,0.211271,0.211271
-0.065687,-0.071708,0.187188,0.169125
-0.065687,-0.065687,0.163104,0.163104
-0.053646,-0.053646,0.175146,0.175146
-0.047625,-0.047625,0.199229,0.199229
-0.119875,-0.119875,0.229334,0.229334
-0.174062,-0.174062,0.259438,0.259438
-0.234271,-0.234271,0.301584,0.301584
-0.264375,-0.264375,0.343729,0.343729
-0.234271,-0.234271,0.373834,0.373834
-0.143958,-0.143958,0.361792,0.361792
-0.089771,-0.089771,0.307604,0.307604
-0.071708,-0.071708,0.235354,0.235354
-0.107833,-0.107833,0.20525,0.20525
-0.156,-0.156,0.163104,0.163104
-0.204166,-0.204166,0.120959,0.120959
-0.240291,-0.240291,0.078813,0.078813
-0.234271,-0.234271,0.042688,0.042688
-0.174062,-0.174062,0.012583,0.012583
-0.08375,-0.08375,-0.017521,-0.017521
0.024625,0.024625,-0.005479,-0.005479
0.199229,0.151063,-0.0115,-0.005479
0.241375,0.241375,0.000542,0.000542
0.2775,0.2775,0.006563,0.006563
0.223313,0.223313,0.012583,0.012583
0.084834,0.084834,0.012583,0.012583
-0.077729,-0.077729,0.006563,0.006563
-0.08375,-0.08375,-0.005479,-0.005479
