You entered a buffer length of 100
-0.017521,-0.000350, Max:0.000000, Min:-0.017521
-0.017521,-0.000529, Max:0.000000, Min:-0.017521
-0.011500,-0.000586, Max:0.000000, Min:-0.017521
-0.017521,-0.000942, Max:0.000000, Min:-0.023541
-0.023541,-0.001241, Max:0.000000, Min:-0.029562
-0.053646,-0.001961, Max:0.000000, Min:-0.053646
-0.065687,-0.002565, Max:0.000000, Min:-0.083750
-0.095791,-0.003409, Max:0.000000, Min:-0.119875
-0.137937,-0.004676, Max:0.000000, Min:-0.186104
-0.192125,-0.005647, Max:0.000000, Min:-0.210187
-0.222229,-0.006253, Max:0.000000, Min:-0.222229
0.337708,0.011989, Max:1.060208, Min:-0.222229
0.723042,0.006879, Max:1.060208, Min:-0.222229
-0.180083,-0.007195, Max:1.060208, Min:-0.318562
-0.210187,-0.005464, Max:1.060208, Min:-0.318562
0.054729,-0.000685, Max:1.060208, Min:-0.318562
0.175146,0.000512, Max:1.060208, Min:-0.318562
0.084834,-0.002180, Max:1.060208, Min:-0.318562
-0.119875,-0.006416, Max:1.060208, Min:-0.318562
-0.312541,-0.010908, Max:1.060208, Min:-0.438979
-0.589500,-0.016427, Max:1.060208, Min:-0.691854
-0.752062,-0.019186, Max:1.060208, Min:-0.782166
-0.776146,-0.019208, Max:1.060208, Min:-0.782166
-0.661750,-0.016734, Max:1.060208, Min:-0.782166
-0.517250,-0.013694, Max:1.060208, Min:-0.782166
-0.288458,-0.009142, Max:1.060208, Min:-0.782166
0.090854,0.005238, Max:1.060208, Min:-0.782166
1.397375,0.024293, Max:1.499729, Min:-0.782166
1.385333,0.019793, Max:1.499729, Min:-0.782166
0.662833,0.005724, Max:1.499729, Min:-0.782166
0.157084,-0.003141, Max:1.499729, Min:-0.782166
0.006563,-0.005512, Max:1.499729, Min:-0.782166
0.012583,-0.005229, Max:1.499729, Min:-0.782166
0.054729,-0.004258, Max:1.499729, Min:-0.782166
0.157084,-0.002135, Max:1.499729, Min:-0.782166
0.271479,-0.000483, Max:1.499729, Min:-0.782166
0.307604,-0.000100, Max:1.499729, Min:-0.782166
0.355771,0.000271, Max:1.499729, Min:-0.782166
0.319646,-0.000503, Max:1.499729, Min:-0.782166
0.247396,-0.002131, Max:1.499729, Min:-0.782166
0.181167,-0.003888, Max:1.499729, Min:-0.782166
0.108917,-0.005405, Max:1.499729, Min:-0.782166
0.042688,-0.006980, Max:1.499729, Min:-0.782166
-0.029562,-0.008315, Max:1.499729, Min:-0.782166
-0.053646,-0.008624, Max:1.499729, Min:-0.782166
-0.017521,-0.008381, Max:1.499729, Min:-0.782166
-0.035583,-0.009036, Max:1.499729, Min:-0.782166
-0.107833,-0.011204, Max:1.499729, Min:-0.782166
-0.216208,-0.013268, Max:1.499729, Min:-0.782166
-0.288458,-0.014487, Max:1.499729, Min:-0.782166
-0.264375,-0.013892, Max:1.499729, Min:-0.782166
-0.216208,-0.014482, Max:1.499729, Min:-0.782166
-0.529291,-0.021407, Max:1.499729, Min:-0.782166
-0.709916,-0.023217, Max:1.499729, Min:-0.782166
-0.565416,-0.019918, Max:1.499729, Min:-0.782166
-0.330604,-0.015364, Max:1.499729, Min:-0.782166
-0.131916,-0.011941, Max:1.499729, Min:-0.782166
-0.023541,-0.010216, Max:1.499729, Min:-0.782166
0.030646,-0.009471, Max:1.499729, Min:-0.782166
0.066771,-0.008856, Max:1.499729, Min:-0.782166
0.114938,-0.007941, Max:1.499729, Min:-0.782166
0.193208,-0.006180, Max:1.499729, Min:-0.782166
