You entered a buffer length of 100
-0.334494,-0.006690, Max:0.000000, Min:-0.334494
-0.322485,-0.009741, Max:0.000000, Min:-0.334494
-0.322485,-0.013057, Max:0.000000, Min:-0.334494
-0.304471,-0.015834, Max:0.000000, Min:-0.334494
-0.286456,-0.018607, Max:0.000000, Min:-0.334494
-0.244423,-0.020959, Max:0.000000, Min:-0.334494
-0.196385,-0.023306, Max:0.000000, Min:-0.334494
-0.154352,-0.025714, Max:0.000000, Min:-0.334494
-0.118323,-0.028302, Max:0.000000, Min:-0.334494
-0.100309,-0.031313, Max:0.000000, Min:-0.334494
-0.106314,-0.034688, Max:0.000000, Min:-0.334494
-0.124328,-0.038367, Max:0.000000, Min:-0.334494
-0.130333,-0.041628, Max:0.000000, Min:-0.334494
-0.106314,-0.044285, Max:0.000000, Min:-0.334494
-0.052271,-0.046696, Max:0.000000, Min:-0.334494
-0.052271,-0.049885, Max:0.000000, Min:-0.334494
-0.064281,-0.053562, Max:0.000000, Min:-0.334494
-0.094304,-0.057484, Max:0.000000, Min:-0.334494
-0.112319,-0.060748, Max:0.000000, Min:-0.334494
-0.082295,-0.063165, Max:0.000000, Min:-0.334494
0.001771,-0.064673, Max:0.043805, Min:-0.334494
0.067824,-0.066412, Max:0.127871, Min:-0.334494
0.163900,-0.067972, Max:0.199928, Min:-0.334494
0.229952,-0.070012, Max:0.253971, Min:-0.334494
0.283994,-0.072357, Max:0.289999, Min:-0.334494
0.344042,-0.074164, Max:0.374066, Min:-0.334494
0.404089,-0.076206, Max:0.434113, Min:-0.334494
0.464137,-0.078310, Max:0.488156, Min:-0.334494
0.500165,-0.080835, Max:0.524184, Min:-0.334494
0.548203,-0.083185, Max:0.566217, Min:-0.334494
0.590236,-0.085472, Max:0.620260, Min:-0.334494
0.644279,-0.087699, Max:0.668298, Min:-0.334494
0.686312,-0.090226, Max:0.698322, Min:-0.334494
0.704327,-0.093236, Max:0.704327, Min:-0.334494
0.698322,-0.096671, Max:0.704327, Min:-0.334494
0.692317,-0.099990, Max:0.704327, Min:-0.334494
0.692317,-0.103248, Max:0.704327, Min:-0.334494
0.692317,-0.106505, Max:0.704327, Min:-0.334494
0.698322,-0.109643, Max:0.704327, Min:-0.334494
0.704327,-0.112719, Max:0.710331, Min:-0.334494
0.722341,-0.115614, Max:0.728346, Min:-0.334494
0.734350,-0.118748, Max:0.734350, Min:-0.334494
0.728346,-0.121944, Max:0.740355, Min:-0.334494
0.746360,-0.124841, Max:0.758369, Min:-0.334494
0.770379,-0.127734, Max:0.770379, Min:-0.334494
0.776383,-0.130868, Max:0.776383, Min:-0.334494
0.776383,-0.133944, Max:0.794398, Min:-0.334494
0.806407,-0.136599, Max:0.824421, Min:-0.334494
0.848440,-0.139070, Max:0.860450, Min:-0.334494
0.872459,-0.141899, Max:0.878464, Min:-0.334494
0.866455,-0.145332, Max:0.878464, Min:-0.334494
0.860450,-0.148772, Max:0.878464, Min:-0.334494
0.848440,-0.152271, Max:0.878464, Min:-0.334494
0.842436,-0.156071, Max:0.878464, Min:-0.334494
0.764374,-0.160775, Max:0.878464, Min:-0.334494
0.704327,-0.165068, Max:0.878464, Min:-0.334494
0.668298,-0.169236, Max:0.878464, Min:-0.334494
0.632270,-0.172983, Max:0.878464, Min:-0.334494
0.602246,-0.176966, Max:0.878464, Min:-0.334494
0.548203,-0.181312, Max:0.878464, Min:-0.334494
0.476146,-0.185781, Max:0.878464, Min:-0.334494
0.464137,-0.189411, Max:0.878464, Min:-0.334494
0.440118,-0.192972, Max:0.878464, Min:-0.334494
0.446122,-0.196413, Max:0.878464, Min:-0.334494
0.440118,-0.199492, Max:0.878464, Min:-0.334494
0.452127,-0.202507, Max:0.878464, Min:-0.334494
