You entered a buffer length of 100
-0.007563,-0.000151, Max:0.000000, Min:-0.007563
0.004442,0.000252, Max:0.016446, Min:-0.007563
0.034452,0.000960, Max:0.052458, Min:-0.007563
0.070464,0.001792, Max:0.094472, Min:-0.007563
0.094472,0.002325, Max:0.118480, Min:-0.007563
0.124482,0.002795, Max:0.130484, Min:-0.007563
0.136486,0.003084, Max:0.142488, Min:-0.007563
0.142488,0.003192, Max:0.142488, Min:-0.007563
0.154493,0.003477, Max:0.154493, Min:-0.007563
0.160495,0.003644, Max:0.160495, Min:-0.007563
0.160495,0.003751, Max:0.166497, Min:-0.007563
0.166497,0.003856, Max:0.166497, Min:-0.007563
0.166497,0.003901, Max:0.166497, Min:-0.007563
0.160495,0.003826, Max:0.166497, Min:-0.007563
0.172499,0.003930, Max:0.172499, Min:-0.007563
0.154493,0.003795, Max:0.172499, Min:-0.007563
0.148491,0.003778, Max:0.172499, Min:-0.007563
0.154493,0.004003, Max:0.172499, Min:-0.007563
0.172499,0.004349, Max:0.178501, Min:-0.007563
0.184503,0.004697, Max:0.196507, Min:-0.007563
0.208511,0.005226, Max:0.220515, Min:-0.007563
0.208511,0.005395, Max:0.232519, Min:-0.007563
0.250525,0.006222, Max:0.268531, Min:-0.007563
0.280535,0.006875, Max:0.298542, Min:-0.007563
0.316548,0.007406, Max:0.316548, Min:-0.007563
0.346558,0.008296, Max:0.364564, Min:-0.007563
0.388572,0.009189, Max:0.406578, Min:-0.007563
0.436588,0.010323, Max:0.466599, Min:-0.007563
0.478603,0.011339, Max:0.520617, Min:-0.007563
0.550627,0.012774, Max:0.586640, Min:-0.007563
0.616650,0.014033, Max:0.640658, Min:-0.007563
0.670668,0.015171, Max:0.694676, Min:-0.007563
0.724686,0.016247, Max:0.742692, Min:-0.007563
0.760699,0.016962, Max:0.772703, Min:-0.007563
0.784707,0.017434, Max:0.790709, Min:-0.007563
0.796711,0.017543, Max:0.796711, Min:-0.007563
0.778705,0.017228, Max:0.796711, Min:-0.007563
0.742692,0.016549, Max:0.796711, Min:-0.007563
0.706680,0.015807, Max:0.796711, Min:-0.007563
0.676670,0.015244, Max:0.796711, Min:-0.007563
0.634656,0.014442, Max:0.796711, Min:-0.007563
0.610648,0.013998, Max:0.796711, Min:-0.007563
0.580637,0.013498, Max:0.796711, Min:-0.007563
0.550627,0.012877, Max:0.796711, Min:-0.007563
0.508613,0.012075, Max:0.796711, Min:-0.007563
0.466599,0.011151, Max:0.796711, Min:-0.007563
0.406578,0.009986, Max:0.796711, Min:-0.007563
0.346558,0.008818, Max:0.796711, Min:-0.007563
0.280535,0.007471, Max:0.796711, Min:-0.007563
0.214513,0.006361, Max:0.796711, Min:-0.007563
0.166497,0.005434, Max:0.796711, Min:-0.007563
0.130484,0.004749, Max:0.796711, Min:-0.007563
0.094472,0.004186, Max:0.796711, Min:-0.007563
0.094472,0.004045, Max:0.796711, Min:-0.007563
0.070464,0.003908, Max:0.796711, Min:-0.007563
0.100474,0.004671, Max:0.796711, Min:-0.007563
0.142488,0.005624, Max:0.796711, Min:-0.007563
0.196507,0.006818, Max:0.796711, Min:-0.007563
0.262529,0.008195, Max:0.796711, Min:-0.007563
0.322550,0.009454, Max:0.796711, Min:-0.007563
0.364564,0.010411, Max:0.796711, Min:-0.007563
0.418582,0.011245, Max:0.796711, Min:-0.007563
0.436588,0.011598, Max:0.796711, Min:-0.007563
0.442590,0.011586, Max:0.796711, Min:-0.007563
0.448593,0.011930, Max:0.796711, Min:-0.007563
0.448593,0.011978, Max:0.796711, Min:-0.007563
0.436588,0.011783, Max:0.796711, Min:-0.007563
0.424584,0.011765, Max:0.796711, Min:-0.007563
0.454595,0.012350, Max:0.796711, Min:-0.007563
0.484605,0.013060, Max:0.796711, Min:-0.007563
0.520617,0.013892, Max:0.796711, Min:-0.007563
0.568633,0.014905, Max:0.796711, Min:-0.007563
0.604646,0.015620, Max:0.796711, Min:-0.007563
0.646660,0.016572, Max:0.796711, Min:-0.007563
0.688674,0.017466, Max:0.796711, Min:-0.007563
0.730688,0.018300, Max:0.796711, Min:-0.007563
0.766701,0.019073, Max:0.796711, Min:-0.007563
0.796711,0.019605, Max:0.802713, Min:-0.007563
0.808715,0.019775, Max:0.808715, Min:-0.007563
0.802713,0.019701, Max:0.808715, Min:-0.007563
0.796711,0.019624, Max:0.808715, Min:-0.007563
0.796711,0.019608, Max:0.808715, Min:-0.007563
0.778705,0.019412, Max:0.808715, Min:-0.007563
0.778705,0.019395, Max:0.808715, Min:-0.007563
0.778705,0.019499, Max:0.808715, Min:-0.007563
0.778705,0.019724, Max:0.808715, Min:-0.007563
0.814717,0.020371, Max:0.820719, Min:-0.007563
0.820719,0.020602, Max:0.832723, Min:-0.007563
0.838725,0.021069, Max:0.856731, Min:-0.007563
0.862733,0.021538, Max:0.874737, Min:-0.007563
0.886742,0.022068, Max:0.898746, Min:-0.007563
0.904748,0.022357, Max:0.904748, Min:-0.007563
0.922754,0.022585, Max:0.922754, Min:-0.007563
0.928756,0.022751, Max:0.928756, Min:-0.007563
0.922754,0.022858, Max:0.928756, Min:-0.007563
0.916752,0.022543, Max:0.928756, Min:-0.007563
0.856731,0.021444, Max:0.928756, Min:-0.007563
0.814717,0.020817, Max:0.928756, Min:-0.007563
0.826721,0.021275, Max:0.928756, Min:-0.007563
0.850729,0.013117, Max:0.928756, Min:-0.007563
0.934758,0.023179, Max:0.934758, Min:-0.007563
0.952764,0.033243, Max:0.964768, Min:-0.007563
0.982774,0.043247, Max:0.982774, Min:-0.007563
1.012784,0.053611, Max:1.024788, Min:-0.007563
1.042794,0.063738, Max:1.048797, Min:-0.007563
1.048797,0.073442, Max:1.054799, Min:-0.007563
1.042794,0.082962, Max:1.054799, Min:-0.007563
1.060801,0.092781, Max:1.060801, Min:-0.007563
1.060801,0.102242, Max:1.060801, Min:-0.007563
1.030791,0.111220, Max:1.060801, Min:-0.007563
0.994778,0.120013, Max:1.060801, Min:-0.007563
0.952764,0.128563, Max:1.060801, Min:-0.007563
0.886742,0.136872, Max:1.060801, Min:-0.007563
