You entered a buffer length of 20
-0.017521,-0.001752, Max:0.000000, Min:-0.017521
-0.586693,-0.058757, Max:0.000000, Min:-0.586693
0.772703,0.074332, Max:0.772703, Min:-0.586693
-0.017521,0.001089, Max:0.772703, Min:-0.586693
-0.586693,-0.087649, Max:0.772703, Min:-0.586693
0.748695,0.107922, Max:0.772703, Min:-0.586693
-0.011500,0.002494, Max:0.772703, Min:-0.586693
-0.592698,-0.117814, Max:0.772703, Min:-0.592698
0.712682,0.139647, Max:0.772703, Min:-0.592698
-0.017521,0.002301, Max:0.772703, Min:-0.592698
-0.592698,-0.147459, Max:0.772703, Min:-0.598703
0.682672,0.172598, Max:0.772703, Min:-0.598703
-0.023541,0.002471, Max:0.772703, Min:-0.598703
-0.604708,-0.178587, Max:0.772703, Min:-0.622722
0.658664,0.206076, Max:0.772703, Min:-0.622722
-0.053646,0.000559, Max:0.772703, Min:-0.622722
-0.646741,-0.211019, Max:0.772703, Min:-0.646741
0.646660,0.241589, Max:0.772703, Min:-0.646741
-0.065687,-0.000649, Max:0.772703, Min:-0.646741
-0.640736,-0.240114, Max:0.772703, Min:-0.646741
0.652662,0.278469, Max:0.772703, Min:-0.646741
-0.095791,-0.002992, Max:0.772703, Min:-0.646741
-0.634731,-0.268365, Max:0.772703, Min:-0.646741
0.670668,0.316592, Max:0.772703, Min:-0.646741
-0.137937,-0.007381, Max:0.772703, Min:-0.646741
-0.604708,-0.295217, Max:0.772703, Min:-0.646741
0.706680,0.355685, Max:0.772703, Min:-0.646741
-0.192125,-0.010216, Max:0.772703, Min:-0.646741
-0.562675,-0.319589, Max:0.772703, Min:-0.646741
0.772703,0.399704, Max:0.802713, Min:-0.646741
-0.222229,-0.010998, Max:0.802713, Min:-0.646741
-0.508632,-0.342358, Max:0.802713, Min:-0.646741
0.838725,0.443203, Max:0.880739, Min:-0.646741
0.337708,0.082420, Max:1.060208, Min:-0.646741
-0.070286,-0.310577, Max:1.060208, Min:-0.646741
0.934758,0.519439, Max:1.528960, Min:-0.646741
0.723042,0.059767, Max:1.528960, Min:-0.646741
-0.076290,-0.365364, Max:1.528960, Min:-0.646741
1.204850,0.562237, Max:1.528960, Min:-0.646741
-0.180083,-0.008209, Max:1.528960, Min:-0.646741
-0.286456,-0.408005, Max:1.528960, Min:-0.646741
1.384911,0.611044, Max:1.528960, Min:-0.646741
-0.210187,0.003591, Max:1.528960, Min:-0.646741
-0.196385,-0.432246, Max:1.528960, Min:-0.646741
1.799052,0.675777, Max:1.799052, Min:-0.646741
0.054729,0.030637, Max:1.799052, Min:-0.646741
-0.286456,-0.470136, Max:1.799052, Min:-0.646741
1.697017,0.702014, Max:1.799052, Min:-0.646741
0.175146,0.037696, Max:1.799052, Min:-0.646741
-0.346504,-0.500319, Max:1.799052, Min:-0.646741
1.498950,0.725935, Max:1.799052, Min:-0.646741
0.084834,0.025372, Max:1.799052, Min:-0.646741
-0.298466,-0.527568, Max:1.799052, Min:-0.646741
1.342896,0.739500, Max:1.799052, Min:-0.646741
-0.119875,0.005004, Max:1.799052, Min:-0.646741
-0.316480,-0.560923, Max:1.799052, Min:-0.646741
1.132825,0.755760, Max:1.799052, Min:-0.646741
-0.312541,0.005516, Max:1.799052, Min:-0.646741
-0.382532,-0.576210, Max:1.799052, Min:-0.646741
1.018786,0.733389, Max:1.799052, Min:-0.646741
-0.691854,-0.048285, Max:1.799052, Min:-0.691854
-0.568679,-0.587306, Max:1.799052, Min:-0.691854
1.048797,0.749339, Max:1.799052, Min:-0.691854
-0.752062,-0.091740, Max:1.799052, Min:-0.782166
-0.616717,-0.596685, Max:1.799052, Min:-0.782166
1.066803,0.765676, Max:1.799052, Min:-0.782166
-0.776146,-0.126747, Max:1.799052, Min:-0.782166
-0.628727,-0.598135, Max:1.799052, Min:-0.782166
1.000780,0.773106, Max:1.799052, Min:-0.782166
-0.661750,-0.149857, Max:1.799052, Min:-0.782166
-0.532651,-0.590283, Max:1.799052, Min:-0.782166
0.934758,0.783702, Max:1.799052, Min:-0.782166
-0.517250,-0.170099, Max:1.799052, Min:-0.782166
-0.400546,-0.579286, Max:1.799052, Min:-0.782166
0.880739,0.795356, Max:1.799052, Min:-0.782166
-0.288458,-0.182762, Max:1.799052, Min:-0.782166
-0.274447,-0.569411, Max:1.799052, Min:-0.782166
0.844727,0.810255, Max:1.799052, Min:-0.782166
0.090854,-0.146193, Max:1.799052, Min:-0.782166
-0.214399,-0.578991, Max:1.799052, Min:-0.782166
0.796711,0.794770, Max:1.799052, Min:-0.782166
1.397375,-0.088264, Max:1.799052, Min:-0.782166
-0.989011,-0.640646, Max:1.799052, Min:-0.989011
0.064462,0.767980, Max:1.799052, Min:-0.989011
1.385333,-0.148909, Max:1.799052, Min:-0.989011
-0.724803,-0.613054, Max:1.799052, Min:-0.989011
0.646660,0.850087, Max:1.799052, Min:-0.989011
0.662833,-0.250770, Max:1.799052, Min:-0.989011
-0.508632,-0.603435, Max:1.799052, Min:-0.989011
0.946762,0.886580, Max:1.799052, Min:-0.989011
0.157084,-0.328421, Max:1.799052, Min:-0.989011
-0.490618,-0.610320, Max:1.799052, Min:-0.989011
1.012784,0.903942, Max:1.799052, Min:-0.989011
0.006563,-0.374816, Max:1.799052, Min:-0.989011
-0.562675,-0.620746, Max:1.799052, Min:-0.989011
1.000780,0.916625, Max:1.799052, Min:-0.989011
0.012583,-0.408501, Max:1.799052, Min:-0.989011
-0.574684,-0.621530, Max:1.799052, Min:-0.989011
0.994778,0.931891, Max:1.799052, Min:-0.989011
0.054729,-0.438745, Max:1.799052, Min:-0.989011
-0.436575,-0.608631, Max:1.799052, Min:-0.989011
1.030791,0.953543, Max:1.799052, Min:-0.989011
0.157084,-0.462950, Max:1.799052, Min:-0.989011
-0.274447,-0.598132, Max:1.799052, Min:-0.989011
1.054799,0.972374, Max:1.799052, Min:-0.989011
0.271479,-0.489704, Max:1.799052, Min:-0.989011
-0.268442,-0.604874, Max:1.799052, Min:-0.989011
1.030791,0.983741, Max:1.799052, Min:-0.989011
